repo_name,ownership.owner,ownership.owner_kind,ownership.owner_name,ownership.theme,ownership.squad,ownership.priority,github.contributor_count_90d,github.release_count_12mo,github.pr_closure_ratio_90d,github.median_pr_response_seconds,makefile.upgrade,TIMESTAMP,dependabot.exists,dependabot.has_ecosystem.github-actions,dependabot.has_ecosystem.npm,dependabot.has_ecosystem.pip,dependencies.count,dependencies.github.count,dependencies.js.all.count,dependencies.js.count,dependencies.js.dev.count,dependencies.pypi.count,dependencies.pypi_all.count,django_packages.django_42.count,django_packages.total.count,django_packages.upgraded.count,docs.build_badge,docs.python_version,exists..coveragerc,exists..editorconfig,exists..gitignore,exists..pii_annotations.yml,exists.CHANGELOG.rst,exists.Makefile,exists.README,exists.commitlint.yml,exists.dependabot.yml,exists.openedx.yaml,exists.package.json,exists.pylintrc,exists.pyproject.toml,exists.requirements,exists.setup.cfg,exists.setup.py,exists.tox.ini,exists.transifex_config,github.last_push,github_actions,makefile.pip-installed,makefile.quality,makefile.quality-js,makefile.quality-python,makefile.test,makefile.test-js,makefile.test-python,npm_package,org_name,pinned_python_dependencies,readme.bad_links,readme.getting-help,readme.good_links,readme.irc-missing,readme.mailing-list-missing,readme.security,readthedocs_config.exists,readthedocs_config.file_name,readthedocs_config.version,renovate.configured,renovate.last_pr,renovate.oldest_open_pr_date,renovate.total_open_prs,requires.django,requires.pytest,setup_py.project_urls,setup_py.py312_classifiers,setup_py.pypi_name,setup_py.python_versions,setup_py.repo_url,tox_ini.has_section.testenv,tox_ini.has_section.testenv:quality,tox_tox_section,tox_ini.uses_whitelist_externals
openedx/auth-backends,,,,,,,2,3,0.6818,816103,True,2026-08-16,True,True,False,False,76,0,0,0,0,33,76,8,9,6,False,,False,False,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,False,2026-08-13 02:58:28,True,True,True,False,False,True,False,False,,openedx,4,"['http://edx.devstack.lms: HTTPConnectionPool(host=\'edx.devstack.lms\', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host=\'edx.devstack.lms\', port=80): Failed to resolve \'edx.devstack.lms\' ([Errno -2] Name or service not known)""))']",False,"['https://github.com/openedx/auth-backends/workflows/Python%20CI/badge.svg?branch=master', 'https://github.com/openedx/auth-backends/actions?query=workflow%3A%22Python+CI%22', 'http://codecov.io/github/edx/auth-backends/coverage.svg?branch=master', 'http://codecov.io/github/edx/auth-backends?branch=master', 'https://courses.stage.edx.org', 'http://python-social-auth.readthedocs.io/en/latest/strategies.html', 'https://github.com/openedx/auth-backends/releases', 'https://github.com/openedx/.github/blob/master/CONTRIBUTING.md', 'https://groups.google.com/forum/']",True,False,True,False,,,False,,,,True,True,,True,edx-auth-backends,"['3', '3.12']",https://github.com/openedx/auth-backends,True,True,True,True
openedx/openedx-webhooks,,,,,,,5,0,0.9,87,True,2026-08-16,True,True,False,False,118,0,0,0,0,52,118,2,2,1,True,,True,True,True,False,False,True,True,True,True,True,False,True,False,True,True,True,False,False,2026-08-10 20:11:37,True,False,False,False,False,True,False,False,,openedx,0,"['https://openedx-webhooks.herokuapp.com: 401', 'https://git.heroku.com/openedx-webhooks-staging.git: 405', 'https://github.com/organizations/: 404', 'https://openedx-webhooks.herokuapp.com/github/hook-receiver: 405']",False,"['https://dashboard.heroku.com/apps/openedx-webhooks-staging/resources', 'https://github.com/openedx/repo-tools-data-schema', 'https://github.com/', 'https://github.com/openedx/openedx-webhooks/issues/277', 'https://github.com/openedx/openedx-webhooks/issues/279', 'https://github.com/openedx/openedx-webhooks/issues/280', 'https://github.com/openedx/openedx-webhooks/issues/227', 'https://github.com/openedx/repo-tools/tree/master/edx_repo_tools/repo_checks', 'https://openedx.org/cla', 'http://openedx.org', 'http://heroku.com', 'https://devcenter.heroku.com/articles/heroku-command-line', 'https://devcenter.heroku.com/articles/pipelines', 'https://github.com/openedx/openedx-webhooks/workflows/Python%20CI/badge.svg?branch=master', 'https://github.com/openedx/openedx-webhooks/actions?query=workflow%3A%22Python+CI%22', 'http://codecov.io/github/edx/openedx-webhooks/coverage.svg?branch=master', 'http://codecov.io/github/edx/openedx-webhooks?branch=master', 'https://readthedocs.org/projects/openedx-webhooks/badge/?version=latest', 'http://openedx-webhooks.readthedocs.org/en/latest/']",True,True,False,True,.readthedocs.yaml,2,False,,,,False,True,,True,openedx_webhooks,['3.12'],https://github.com/openedx/openedx_webhooks,False,False,False,False
openedx/xblock-lti-consumer,,,,,,,5,12,0.7586,355,True,2026-08-16,True,True,False,False,128,0,0,0,0,45,128,12,15,10,False,,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,False,2026-08-10 20:07:37,True,False,True,False,False,True,False,False,,openedx,6,[],True,"['https://docs.tutor.edly.io/configuration.html', 'https://github.com/openedx/xblock-lti-consumer/blob/v9.14.2/README.rst', 'http://lti.tools/saltire/', 'https://docs.openedx.org/en/latest/educators/how-tos/course_development/exercise_tools/set_up_lti_1_1_component.html', 'https://saltire.lti.app/tool', 'https://saltire.lti.app/tool?norefresh', 'https://lti-ri.imsglobal.org/lti/tools/', 'https://lti-ri.imsglobal.org/lti/tools', 'https://lti-ri.imsglobal.org/keygen/index', 'https://docs.openedx.org/en/latest/educators/how-tos/course_development/exercise_tools/set_up_lti_1_3_component.html', 'http://www.imsglobal.org/spec/lti-bo/v1p1/', 'https://github.com/openedx/xblock-lti-consumer/tree/master/docs/basic_outcomes_service.rst', 'https://www.imsglobal.org/lti/model/uml/purl.imsglobal.org/vocab/lis/v2/outcomes/Result/service.html', 'https://github.com/openedx/xblock-lti-consumer/tree/master/docs/result_service.rst', 'https://github.com/open-craft/openedx-ltistore', 'https://discuss.openedx.org', 'https://github.com/openedx/xblock-lti-consumer/issues', 'https://openedx.org/slack', 'https://openedx.slack.com/', 'https://openedx.org/getting-help', 'https://openedx.org/r/how-to-contribute', 'https://openedx.org/code-of-conduct/', 'https://backstage.openedx.org/catalog/default/component/xblock-lti-consumer', 'https://github.com/openedx/xblock-lti-consumer/workflows/Python%20CI/badge.svg?branch=master', 'https://github.com/openedx/xblock-lti-consumer/actions?query=workflow%3A%22Python+CI%22', 'https://codecov.io/github/openedx/xblock-lti-consumer/coverage.svg?branch=master', 'https://codecov.io/github/openedx/xblock-lti-consumer?branch=master', 'https://img.shields.io/badge/Status-Maintained-brightgreen', 'https://img.shields.io/github/license/openedx/xblock-lti-consumer.svg', 'https://github.com/openedx/edx-rest-api-client/blob/master/LICENSE', 'https://img.shields.io/pypi/v/lti-consumer-xblock.svg', 'https://pypi.python.org/pypi/lti-consumer-xblock/']",True,True,True,False,,,False,,,,True,False,,True,lti-consumer-xblock,"['3', '3.12']",https://github.com/openedx/xblock-lti-consumer,True,True,True,False
openedx/django-user-tasks,,,,,,,3,3,0.9375,95,True,2026-08-16,True,True,False,False,144,0,0,0,0,26,144,6,10,2,True,,True,False,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,2026-08-10 20:08:55,True,True,True,False,False,True,False,False,,openedx,1,['https://open-edx-proposals.readthedocs.io/en/latest/oeps/oep-0003.html: 404'],True,"['https://img.shields.io/pypi/v/django-user-tasks.svg', 'https://pypi.python.org/pypi/django-user-tasks/', 'https://github.com/openedx/django-user-tasks/workflows/Python%20CI/badge.svg?branch=master', 'https://github.com/openedx/django-user-tasks/actions?query=workflow%3A%22Python+CI%22', 'http://codecov.io/github/edx/django-user-tasks/coverage.svg?branch=master', 'http://codecov.io/github/edx/django-user-tasks?branch=master', 'https://readthedocs.org/projects/django-user-tasks/badge/?version=latest', 'http://django-user-tasks.readthedocs.io/en/latest/', 'https://img.shields.io/pypi/pyversions/django-user-tasks.svg', 'https://img.shields.io/github/license/edx/django-user-tasks.svg', 'https://github.com/openedx/django-user-tasks/blob/master/LICENSE.txt', 'http://www.celeryproject.org/', 'https://channels.readthedocs.io/en/latest/', 'http://docs.celeryproject.org/en/latest/userguide/signals.html', 'https://django-user-tasks.readthedocs.org', 'https://github.com/openedx/.github/blob/master/CONTRIBUTING.md', 'https://open.edx.org/getting-help']",True,True,True,True,.readthedocs.yaml,2,False,,,,True,True,,True,django-user-tasks,"['3', '3.12']",https://github.com/openedx/django-user-tasks,True,True,True,False
openedx/django-wiki,,,,,,,2,1,1.0,13439,True,2026-08-16,True,True,False,False,62,0,0,0,0,12,62,4,6,2,False,,False,False,True,False,False,True,True,True,True,True,False,True,False,True,False,True,True,False,2026-06-11 14:51:33,True,False,False,False,False,False,False,False,,openedx,1,"['https://github.com/benjaoming/django-wiki/blob/master/TODO.md: 404', 'http://svn.wikimedia.org/viewvc/mediawiki/trunk/extensions/: 403', 'https://upload.wikimedia.org/wikipedia/commons/8/88/MediaWiki_database_schema_1-19_%28r102798%29.png: 403', 'http://south.aeracode.org/: 502', 'http://www.edxonline.org/: HTTPConnectionPool(host=\'www.edxonline.org\', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host=\'www.edxonline.org\', port=80): Failed to resolve \'www.edxonline.org\' ([Errno -2] Name or service not known)""))']",False,"['http://wiki.overtag.dk', 'http://code.google.com/p/django-simple-wiki/', 'http://www.djangoproject.com', 'https://github.com/waylan/Python-Markdown', 'https://github.com/django-mptt/django-mptt', 'https://github.com/ojii/django-sekizai/', 'https://github.com/sorl/sorl-thumbnail', 'https://github.com/divio/django-cms']",True,True,False,False,,,False,,,,True,True,,True,openedx-django-wiki,['3.12'],https://github.com/openedx/django-wiki,True,False,True,False
openedx/enterprise-catalog,,,,,,,6,5,0.7143,259800,True,2026-08-16,True,True,False,False,204,0,0,0,0,119,204,22,30,18,False,,True,True,True,True,False,True,True,True,True,False,False,True,False,True,True,False,True,True,2026-08-11 11:31:01,True,True,True,False,False,True,False,False,,openedx,9,['https://travis-ci.com/edx/enterprise-catalog: 404'],False,"['https://travis-ci.com/edx/enterprise-catalog.svg?branch=master', 'http://codecov.io/github/edx/enterprise-catalog/coverage.svg?branch=master', 'http://codecov.io/github/edx/enterprise-catalog?branch=master', 'https://github.com/openedx/enterprise-catalog/blob/master/LICENSE', 'https://github.com/openedx/.github/blob/master/CONTRIBUTING.md', 'https://openedx.slack.com/messages/general/', 'https://groups.google.com/forum/']",True,False,True,False,,,False,,,,True,True,,False,,[],,True,False,True,False
openedx/edx-val,,,,,,,6,6,0.8462,154,True,2026-08-16,True,True,False,False,112,0,0,0,0,107,112,11,14,7,False,,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,False,2026-08-14 03:09:26,True,True,True,False,False,True,False,False,,openedx,3,"['http://www.example.com/example_mobile_video.mp4: 404', 'http://www.example.com/example_desktop_video.mp4: 404']",False,[],True,True,False,False,,,False,,,,True,True,,True,edxval,"['3', '3.12']",http://github.com/openedx/edx-val,True,True,True,False
openedx/docs.openedx.org,,,,,,,8,0,0.9524,22246,True,2026-08-16,True,True,False,False,59,0,0,0,0,53,59,0,0,0,False,,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,2026-08-14 17:42:59,True,True,False,False,False,False,False,False,,openedx,0,['https://en.wikipedia.org/wiki/ReStructuredText: 403'],False,"['https://docs.openedx.org/en/latest/documentors/how-tos/report_problem_with_docs.html', 'https://docs.openedx.org/en/latest/documentors/quickstarts/first_documentation_pr.html', 'https://docs.openedx.org/en/latest/documentors/quickstarts/update_doc_via_github.html', 'https://docs.openedx.org/en/latest/documentors/quickstarts/quick_start_add_doc.html', 'https://docs.openedx.org/en/latest/documentors/index.html', 'https://github.com/openedx/.github/blob/master/AI_POLICY.md', 'https://docs.openedx.org/', 'https://github.com/openedx/docs.openedx.org', 'https://www.sphinx-doc.org/', 'https://docs.github.com/en/get-started/using-github/github-flow', 'https://docs.openedx.org/en/latest/documentors/how-tos/develop_docs_locally.html']",True,True,False,True,.readthedocs.yaml,2,False,,,,False,False,,False,,[],,False,False,False,False
openedx/xapi-db-load,,,,,,,8,3,1.0,21990,True,2026-08-16,True,True,False,False,0,0,0,0,0,0,0,0,0,0,False,,False,True,True,False,True,True,True,True,True,True,False,True,True,False,False,False,True,False,2026-08-14 19:00:42,True,False,True,False,False,True,False,False,,openedx,0,"['http://ralph.tutor-nightly-local.orb.local/xAPI/statements: HTTPConnectionPool(host=\'ralph.tutor-nightly-local.orb.local\', port=80): Max retries exceeded with url: /xAPI/statements (Caused by NameResolutionError(""HTTPConnection(host=\'ralph.tutor-nightly-local.orb.local\', port=80): Failed to resolve \'ralph.tutor-nightly-local.orb.local\' ([Errno -3] Temporary failure in name resolution)""))', 'https://openedx-aspects-loadtest.s3.amazonaws.com/logs/large_test/: 403', 'https://docs.openedx.org/projects/xapi-db-load: 404', 'https://open-edx-backstage.herokuapp.com/catalog/default/component/xapi-db-load: 404']",True,"['https://github.com/openedx/xapi-db-load/issues', 'https://vector.dev', 'https://pypi.org/project/smart-open/', 'https://discuss.openedx.org', 'https://openedx.org/slack', 'https://openedx.slack.com/', 'https://openedx.org/getting-help', 'https://openedx.org/r/how-to-contribute', 'https://openedx.org/code-of-conduct/']",True,True,True,True,.readthedocs.yaml,2,False,,,,False,False,,False,,[],,True,True,True,False
openedx/openedx-ai-extensions,,,,,,,4,24,0.8824,6,False,2026-08-16,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,2026-07-08 22:22:17,True,False,False,False,False,False,False,False,,openedx,0,['https://docs.openedx.org/en/latest/developers/references/plugin_reference.html: 404'],False,"['https://img.shields.io/badge/Status-Experimental-orange', 'https://img.shields.io/badge/License-AGPL%20v3-blue', 'https://img.shields.io/badge/Documentation-green', 'https://docs.openedx.org/projects/openedx-ai-extensions/en/latest/index.html', 'https://github.com/openedx/openedx-ai-extensions.git', 'https://docs.openedx.org/en/latest/developers/quickstarts/so_you_want_to_contribute.html', 'https://discuss.openedx.org', 'https://www.canva.com/design/DAGqjcS2mT4/nTHQIDIeZ89wqsBvh9GWKA/view', 'https://docs.litellm.ai/', 'https://drive.google.com/file/d/1sUj2xoldYFAvPoDuxqwG0XbIundGD0u2/view', 'https://github.com/openedx/openedx-ai-extensions/issues']",True,True,False,True,.readthedocs.yaml,2,False,,,,False,False,,False,,[],,False,False,False,False
