repo_name,openedx_yaml.oep-2,ownership.theme,ownership.squad,travis_yml.python_versions
openedx/edx-when,,,,[]
openedx/xapi-db-load,,,,[]
openedx/frontend-enterprise,,,,[]
openedx/codejail-includes,,,,[]
openedx/edx-enterprise,,,,[]
openedx/tutor-contrib-aspects-sample,,,,[]
openedx/opaque-keys,,,,[]
openedx/edx-django-sites-extensions,,,,[]
openedx/edx-drf-extensions,,,,[]
openedx/openedx-app-foundation-android,,,,[]
openedx/forum,,,,[]
openedx/enterprise-integrated-channels,,,,[]
openedx/django-require,,,,[]
openedx/enterprise-catalog,,,,[]
openedx/pr_watcher_notifier,,,,[]
openedx/sample-aspects-dbt,,,,[]
openedx/wg-data,,,,[]
openedx/frontend-app-enterprise-public-catalog,,,,[]
openedx/xblock-free-text-response,,,,[]
openedx/xblocks-extra,,,,[]
openedx/edx-bulk-grades,,,,[]
openedx/openedx-app-ios,,,,[]
openedx/event-tracking,,,,[]
openedx/olxcleaner,,,,[]
openedx/edx-enterprise-subsidy-client,,,,[]
openedx/frontend-app-account,,,,[]
openedx/openedx-wordpress-ecommerce,,,,[]
openedx/i18n-tools,,,,[]
openedx/platform-plugin-aspects,,,,[]
openedx/openedx-filters,,,,[]
openedx/frontend-app-admin-console,,,,[]
openedx/crowdsourcehinter,,,,[]
openedx/staff-graded-xblock,,,,[]
openedx/frontend-build,,,,[]
openedx/frontend-app-admin-portal,,,,[]
openedx/wg-devops,,,,[]
openedx/openedx-webhooks,,,,[]
openedx/enmerkar-underscore,,,,[]
openedx/api-doc-tools,,,,[]
openedx/platform-roadmap,,,,[]
openedx/frontend-app-learning,,,,[]
openedx/frontend-app-authoring,,,,[]
openedx/openedx-authz,,,,[]
openedx/openedx-atlas,,,,[]
openedx/stylelint-config-edx,,,,[]
openedx/typescript-config,,,,[]
openedx/frontend-component-cookie-policy-banner,,,,[]
openedx/edx-ui-toolkit,,,,[]
openedx/openedx-webhooks-data-schema,,,,[]
openedx/frontend-base,,,,[]
openedx/public-engineering,,,,[]
openedx/browserslist-config,,,,[]
openedx/openedx-user-groups,,,,[]
openedx/RecommenderXBlock,,,,[]
openedx/frontend-component-footer,,,,[]
openedx/credentials-themes,,,,[]
openedx/openedx-demo-course,,,,[]
openedx/edx-toggles,,,,[]
openedx/modular-learning,,,,[]
openedx/openedx-platform,,,,[]
openedx/frontend-lib-special-exams,,,,[]
openedx/xblock-image-explorer,,,,[]
openedx/codejail-service,,,,[]
openedx/edx-ora2,,,,[]
openedx/frontend-plugin-framework,,,,[]
openedx/super-csv,,,,[]
openedx/django-wiki,,,,[]
openedx/frontend-plugin-aspects,,,,[]
openedx/frontend-components-tinymce-advanced-plugins,,,,[]
openedx/wg-build-test-release,,,,[]
openedx/frontend-app-ora,,,,[]
openedx/edx-enterprise-data,,,,[]
openedx/edx-submissions,,,,[]
openedx/openedx-chem,,,,[]
openedx/paragon,,,,[]
openedx/license-manager,,,,[]
openedx/tutor-contrib-platform-notifications,,,,[]
openedx/eslint-config,,,,[]
openedx/edx-celeryutils,,,,[]
openedx/edx-rbac,,,,[]
openedx/pr_watcher_configuration,,,,[]
openedx/FeedbackXBlock,,,,[]
openedx/xblock-sdk,,,,[]
openedx/frontend-app-learner-dashboard,,,,[]
openedx/tinymce-language-selector,,,,[]
openedx/wg-translations,,,,[]
openedx/edx-bootstrap,,,,[]
openedx/frontend-template-application,,,,[]
openedx/event-routing-backends,,,,[]
openedx/course-discovery,,,,[]
openedx/edx-rest-api-client,,,,[]
openedx/mockprock,,,,[]
openedx/xss-utils,,,,[]
openedx/pytest-repo-health,,,,[]
openedx/code-annotations,,,,[]
openedx/edx-val,,,,[]
openedx/frontend-app-learner-record,,,,[]
openedx/edx-organizations,,,,[]
openedx/django-pyfs,,,,[]
openedx/openedx-k8s-harmony,,,,[]
openedx/tutor-contrib-aspects,,,,[]
openedx/enterprise-access,,,,[]
openedx/openedx-app-firebase-analytics-ios,,,,[]
openedx/wg-frontend,,,,[]
openedx/frontend-app-communications,,,,[]
openedx/credentials,,,,[]
openedx/xblock-skill-tagging,,,,[]
openedx/openedx-events,,,,[]
openedx/aspects-dbt,,,,[]
openedx/frontend-app-instructor-dashboard,,,,[]
openedx/enterprise-subsidy,,,,[]
openedx/frontend-app-learner-portal-enterprise,,,,[]
openedx/repo-tools,,,,[]
openedx/frontend-app-authn,,,,[]
openedx/completion,,,,[]
openedx/wg-maintenance,,,,[]
openedx/django-config-models,,,,[]
openedx/edx-notes-api,,,,[]
openedx/openedx-proposals,,,,[]
openedx/webhook-test-repo,,,,[]
openedx/event-bus-redis,,,,[]
openedx/frontend-plugin-notifications,,,,[]
openedx/edx-milestones,,,,[]
openedx/XBlock,,,,[]
openedx/openedx-aspects,,,,[]
openedx/openedx-calc,,,,[]
openedx/wg-security,,,,[]
openedx/DoneXBlock,,,,[]
openedx/edx-lint,,,,[]
openedx/frontend-platform,,,,[]
openedx/docs.openedx.org,,,,[]
openedx/openedx-translations,,,,[]
openedx/openedx-app-firebase-analytics-android,,,,[]
openedx/cc2olx,,,,[]
openedx/frontend-app-catalog,,,,[]
openedx/wg-marketing,,,,[]
openedx/openedx-app-android,,,,[]
openedx/openedx-app-foundation-ios,,,,[]
openedx/cypress-e2e-tests,,,,[]
openedx/frontend-template-site,,,,[]
openedx/codejail,,,,[]
openedx/xblock-in-video-quiz,,,,[]
openedx/training-courses,,,,[]
openedx/xblock-drag-and-drop-v2,,,,[]
openedx/axim-engineering,,,,[]
openedx/openedx-tutor-plugins,,,,[]
openedx/edx-ace,,,,[]
openedx/edx-django-utils,,,,[]
openedx/taxonomy-connector,,,,[]
openedx/frontend-app-discussions,,,,[]
openedx/frontend-base-compat,,,,[]
openedx/openedx-core,,,,[]
openedx/xblocks-core,,,,[]
openedx/openedx-ai-extensions,,,,[]
openedx/edx-proctoring,,,,[]
openedx/ccx-keys,,,,[]
openedx/xqueue,,,,[]
openedx/web-fragments,,,,[]
openedx/sample-plugin,,,,[]
openedx/openedx-ledger,,,,[]
openedx/brand-openedx,,,,[]
openedx/auth-backends,,,,[]
openedx/event-bus-kafka,,,,[]
openedx/wg-mobile,,,,[]
openedx/wg-governance,,,,[]
openedx/openedx-app-test,,,,[]
openedx/acid-block,,,,[]
openedx/frontend-app-ora-grading,,,,[]
openedx/edx-search,,,,[]
openedx/edx-cookiecutters,,,,[]
openedx/didkit-python,,,,[]
openedx/frontend-app-profile,,,,[]
openedx/xblock-lti-consumer,,,,[]
